model,rank_test_score,mean_test_rmse,std_test_score,mean_train_rmse,params
GradientBoostingRegressor,1,4528.370755235139,616.1545057764457,4146.77681961015,"{'subsample': 0.8, 'n_estimators': 300, 'min_samples_leaf': 1, 'max_depth': 2, 'learning_rate': 0.03}"
GradientBoostingRegressor,2,4533.767327564767,612.9351082113045,4192.303320217092,"{'subsample': 0.8, 'n_estimators': 300, 'min_samples_leaf': 4, 'max_depth': 2, 'learning_rate': 0.03}"
GradientBoostingRegressor,3,4621.003862613061,567.9569635525874,3700.560325881432,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_leaf': 1, 'max_depth': 3, 'learning_rate': 0.05}"
GradientBoostingRegressor,4,4644.567277920592,587.587893726868,3884.034051291128,"{'subsample': 0.9, 'n_estimators': 200, 'min_samples_leaf': 2, 'max_depth': 2, 'learning_rate': 0.1}"
GradientBoostingRegressor,5,4704.76375138695,603.4720212753687,4587.664414657061,"{'subsample': 0.8, 'n_estimators': 100, 'min_samples_leaf': 2, 'max_depth': 2, 'learning_rate': 0.03}"
GradientBoostingRegressor,6,4852.200185888064,514.4431369514793,2885.3844680045518,"{'subsample': 1.0, 'n_estimators': 300, 'min_samples_leaf': 2, 'max_depth': 4, 'learning_rate': 0.05}"
GradientBoostingRegressor,7,4895.953563772951,486.5490016668308,3224.2237900944388,"{'subsample': 1.0, 'n_estimators': 300, 'min_samples_leaf': 4, 'max_depth': 3, 'learning_rate': 0.1}"
GradientBoostingRegressor,8,4909.6794232703105,546.4613844103708,2592.581193146771,"{'subsample': 0.8, 'n_estimators': 300, 'min_samples_leaf': 2, 'max_depth': 4, 'learning_rate': 0.05}"
GradientBoostingRegressor,9,4991.81944055127,482.1147324209792,2644.5009673306145,"{'subsample': 0.9, 'n_estimators': 200, 'min_samples_leaf': 4, 'max_depth': 4, 'learning_rate': 0.1}"
GradientBoostingRegressor,10,5191.1093139639825,443.88286561434774,1864.1111600787135,"{'subsample': 0.9, 'n_estimators': 300, 'min_samples_leaf': 2, 'max_depth': 4, 'learning_rate': 0.1}"
RandomForestRegressor,1,4645.833472909806,599.2314688960942,3572.2723359355987,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 1.0, 'max_depth': 8}"
RandomForestRegressor,2,4714.502919723341,562.0648690953295,3251.2518192294083,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': 10}"
RandomForestRegressor,3,4813.612119232553,579.9246964723181,3351.0723171497216,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}"
RandomForestRegressor,4,4815.908443974428,583.4940244983068,3636.5782907123016,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 10}"
RandomForestRegressor,5,4825.446455778225,598.466756759676,3779.4226677431207,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}"
RandomForestRegressor,6,4836.0055203759275,601.0563579875667,3750.556382444059,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None}"
RandomForestRegressor,7,4849.170145703542,597.3515930565668,4097.523132114892,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 6}"
RandomForestRegressor,8,4861.206021494394,564.0254027184233,3639.0276755612517,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None}"
RandomForestRegressor,9,4873.160004855349,600.6226576935466,3919.2267838610155,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': None}"
RandomForestRegressor,10,5405.840842819434,525.9355810789717,5114.246820308185,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 4}"
ExtraTreesRegressor,1,4599.914986846682,620.8177297383515,3854.746144249796,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 1.0, 'max_depth': 8}"
ExtraTreesRegressor,2,4619.631317732278,595.2800686021313,3422.5126547230893,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': 10}"
ExtraTreesRegressor,3,5153.1627250825795,543.0587669075323,4053.2924251590216,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None}"
ExtraTreesRegressor,4,5157.495648906182,547.2404496524656,4230.148610018065,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 10}"
ExtraTreesRegressor,5,5194.554226548283,536.7378493872035,4059.089476363504,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}"
ExtraTreesRegressor,6,5261.259769119307,553.5462638902059,4336.138951381465,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None}"
ExtraTreesRegressor,7,5261.329507910316,537.4055538930944,4351.719755962292,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}"
ExtraTreesRegressor,8,5457.087506533928,558.8709732681442,4723.727296458895,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': None}"
ExtraTreesRegressor,9,5511.792701061563,510.0270057565953,5067.664340106787,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 6}"
ExtraTreesRegressor,10,6363.513914089496,483.6970898056797,6210.837398625769,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 4}"
